source,product,Brand_custom,Category_custom,Flavor_custom,Item_custom,name,date,status,sentiment,topic,notes,author,verified,vine,stars,pvotes,tvotes,title,text,image,video,reviewid,reviewlink,parent,statusdt,statustime,helpfulcount,commenttext,commentauthor,officialcomment,totalcomments,commentts,commentdatestring,inputtime
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",8/22/14,Not Assigned,Not Assigned,Not Assigned,,leftfoot,FALSE,n/a,5,0,0,OMG Soooo very good!,"3 ingredients and so dang good!One thing that I love is that they have 3 servings to a bag, but using it on salads or desserts means you'll get a lot more out of a bag, and more bang for the buck as they are a bit pricey. I love the fact there's no preservatives, no fillers, no colors. Just all natural ingredients.",No,No,R3QH5B4Y6YNLRK,https://www.amazon.com/review/R3QH5B4Y6YNLRK/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",5/19/14,Not Assigned,Not Assigned,Not Assigned,,Lisa F,TRUE,n/a,5,9,9,WOW!,"These are just fabulous.  I've ordered single serves and the larger & less expensive (per ounce) size.  Problem is that once they are open, it's REALLY hard to stop eating them.  So while more $ per ounce, the smaller size works well for portion control!Crunchy, salty & sweet w/ fairly low carbs & calories - what a super find!!!  I make trail mix w/ pecans, these and crumbled parmesan crisps (parmesan crisps are parmesan cheese toasted until they form a cracker).  YUM!",No,No,R30ZNQ76JJ3HHW,https://www.amazon.com/review/R30ZNQ76JJ3HHW/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",5/11/14,Not Assigned,Not Assigned,Not Assigned,,Margaret Harline,TRUE,n/a,5,3,3,Dang Good toasted Coconut !,"I bought one bag of this coconut product and I was hooked! I went right home and ordered on Amazon, can't have enough !",No,No,R24D4JNGXITPWN,https://www.amazon.com/review/R24D4JNGXITPWN/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",4/23/14,Not Assigned,Not Assigned,Not Assigned,,atesaf,TRUE,n/a,5,0,0,"Tastes amazing, great kids snack","The whole family loves this snack - me, hubby, and our almost 2 yo. Excellent portion-controlled deliciousness. highly recommend both flavors.",No,No,R34RK5G863A91H,https://www.amazon.com/review/R34RK5G863A91H/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",4/22/14,Not Assigned,Not Assigned,Not Assigned,,Amazon Customer,TRUE,n/a,5,0,0,Healthy snack with Amazing flavor!,We Love these chips and they are good for you!! Yummmm! Kids love them too!;) try them and you will be hooked!,No,No,R2WM4SOKVIRI0R,https://www.amazon.com/review/R2WM4SOKVIRI0R/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",3/19/14,Not Assigned,Not Assigned,Not Assigned,,Stacey Payne,TRUE,n/a,5,0,0,Yummy,"These are awesome little chips to snack on. Full of flavor, light, low calories and very good for you! Don't wait!!",No,No,R2CLE3TGQYE3AQ,https://www.amazon.com/review/R2CLE3TGQYE3AQ/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",2/24/14,Not Assigned,Not Assigned,Not Assigned,,Cowgirl,TRUE,n/a,5,1,1,Decadence,"Holy deliciousness.  I'm on an extremely limited diet right now while breastfeeding my extremely sensitive infant.  I purchased these on a whim as an add one single bag to my order.  These are my guilty pleasure without hearing from my baby about it later.  I devoured the entire bag in one sitting while gabbing with my mother.  I wish it came with more in it!  Its quite a big bag for such a small amount of pure heaven.  Its crispy, toasty with a salty sweet flavor.  Something about it makes it taste buttery to me too.  I have signed up for subscribe and save and I can't wait for my first order to arrive!!",No,No,RM39TEM15F98Z,https://www.amazon.com/review/RM39TEM15F98Z/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",2/23/14,Not Assigned,Not Assigned,Not Assigned,,Careful Consumer,FALSE,n/a,5,0,0,"Very, Very Good!","Well, I tried these just taking a chance, and I must say, they are absolutely delicious!  Crispy, salty, just a bit sweet, they fit the bill when one wants something 'chippy'.  Plus they are gluten free, and that's a plus for me.  I just signed up for the regular delivery, and as long as my budget holds out, I'll enjoy them regularly.  They are a bit pricy, and I wish the producers would lower the price, the cost keeps me from eating a pack daily, as I would surely do if they weren't so expensive!  These rate 5 stars for taste and quality!",No,No,R3J4B9G2FXNF2E,https://www.amazon.com/review/R3J4B9G2FXNF2E/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",1/15/14,Not Assigned,Not Assigned,Not Assigned,,Amazon Customer,FALSE,n/a,5,0,0,"Delicious, Crisp---Epicaly Good! Gluten free/Vegan","This is the BEST dried coconut I have had, with a great flavor(& sweet) and  very crisp as well.My husband came home with it from the health food store and our family of four could hardly stop eating it!We ate half of the ""family"" size bag and saved the rest for our dessert that night!We typically don't eat coconut for dessert but this is so sweet, crisp, and full of flavor that you will have a hard time putting it down.This is the smaller bag--they have a 3.17 oz bag that I would recommend unless you are single.YUM.I think this is the biggest bag they make.  It is not tons but well worth the price.  We paid about four bucks for it at our store and the smaller bag is two.  I recommend the larger size since the small one is like a snack for one person.This flavor along with the plain is---Delicious!!!It has a little vanilla/caramel flavor with a hint of Sea Salt and taste like candy!Note, that these are like thin slices of coconut, not tiny shreds.  I am looking forward to trying this in a toffee brittle with almonds or cashews and on my morning oats.Tasty!",No,No,R3VE4IW16MDPQM,https://www.amazon.com/review/R3VE4IW16MDPQM/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
amazon,B00F94YP8A,Dang,Coconut Chips,Caramel Sea Salt,"Dang Gluten Free Toasted Coconut Chips, Caramel Sea Salt, 1.43 Ounce Bags (Pack of 12)","Dang Toasted Coconut Chips, Paleo, Gluten Free, Caramel Sea Salt, 1.43 Ounce (12 Count)",12/30/13,Not Assigned,Not Assigned,Not Assigned,,Karen,TRUE,n/a,5,0,0,Yummy!,I have had both the Toasted coconut chips and the Caramel sea salt they are both so delicious!  I eat them for dessert and add them to salads.  They are crispy but at the same time have a melt in your mouth feeling. Great job Dang!,No,No,R2AO09EGX3HUB6,https://www.amazon.com/review/R2AO09EGX3HUB6/ref=cm_cr_dp_title?ie=UTF8&ASIN=B00F94YP8A,B07BN6WQQS,,,,,,,,,,5/16/19 22:36
